second,Volt,Volt
-10.00000E-03,+3.04522E-03,+930.71360E-03
-9.99000E-03,-37.15578E-03,+930.71360E-03
-9.98000E-03,-85.39699E-03,+714.03018E-03
-9.97000E-03,-89.41709E-03,+635.23620E-03
-9.96000E-03,-69.31658E-03,+517.04524E-03
-9.95000E-03,-45.19598E-03,+517.04524E-03
-9.94000E-03,+3.04522E-03,+379.15579E-03
-9.93000E-03,-37.15578E-03,+142.77387E-03
-9.92000E-03,-69.31658E-03,-93.60804E-03
-9.91000E-03,-65.29648E-03,-290.59298E-03
-9.90000E-03,-37.15578E-03,-329.98996E-03
-9.89000E-03,-53.23618E-03,-586.07037E-03
-9.88000E-03,+31.18593E-03,-605.76887E-03
-9.87000E-03,-21.07538E-03,-783.05531E-03
-9.86000E-03,-13.03518E-03,-842.15079E-03
-9.85000E-03,-29.11558E-03,-940.64325E-03
-9.84000E-03,-29.11558E-03,-940.64325E-03
-9.83000E-03,-37.15578E-03,-960.34174E-03
-9.82000E-03,+39.22613E-03,-842.15079E-03
-9.81000E-03,+55.30653E-03,-743.65832E-03
-9.80000E-03,+99.52763E-03,-605.76887E-03
-9.79000E-03,+11.08542E-03,-645.16585E-03
-9.78000E-03,+43.24623E-03,-389.08544E-03
-9.77000E-03,+31.18593E-03,-329.98996E-03
-9.76000E-03,+71.38693E-03,-172.40202E-03
-9.75000E-03,+75.40703E-03,+103.37689E-03
-9.74000E-03,+23.14573E-03,+221.56785E-03
-9.73000E-03,+35.20603E-03,+438.25127E-03
-9.72000E-03,+11.08542E-03,+457.94977E-03
-9.71000E-03,+19.12563E-03,+694.33168E-03
-9.70000E-03,+35.20603E-03,+832.22114E-03
-9.69000E-03,-21.07538E-03,+871.61812E-03
-9.68000E-03,-73.33669E-03,+753.42716E-03
-9.67000E-03,+23.14573E-03,+950.41209E-03
-9.66000E-03,-73.33669E-03,+773.12566E-03
-9.65000E-03,-81.37689E-03,+753.42716E-03
-9.64000E-03,-974.88E-06,+832.22114E-03
-9.63000E-03,-109.51759E-03,+556.44223E-03
-9.62000E-03,-33.13568E-03,+497.34675E-03
-9.61000E-03,-53.23618E-03,+320.06031E-03
-9.60000E-03,-57.25628E-03,+221.56785E-03
-9.59000E-03,-17.05528E-03,+44.28141E-03
-9.58000E-03,-73.33669E-03,-133.00503E-03
-9.57000E-03,-89.41709E-03,-349.68846E-03
-9.56000E-03,-9.01508E-03,-389.08544E-03
-9.55000E-03,-49.21608E-03,-645.16585E-03
-9.54000E-03,-41.17588E-03,-723.95983E-03
-9.53000E-03,-29.11558E-03,-881.54777E-03
-9.52000E-03,+23.14573E-03,-901.24626E-03
-9.51000E-03,-9.01508E-03,-980.04024E-03
-9.50000E-03,+27.16583E-03,-940.64325E-03
-9.49000E-03,+7.06532E-03,-940.64325E-03
-9.48000E-03,+91.48743E-03,-763.35681E-03
-9.47000E-03,-9.01508E-03,-842.15079E-03
-9.46000E-03,+15.10553E-03,-704.26133E-03
-9.45000E-03,+11.08542E-03,-507.27640E-03
-9.44000E-03,+75.40703E-03,-270.89448E-03
-9.43000E-03,+99.52763E-03,-133.00503E-03
-9.42000E-03,+19.12563E-03,-54.21106E-03
-9.41000E-03,+31.18593E-03,+123.07538E-03
-9.40000E-03,-974.88E-06,+280.66333E-03
-9.39000E-03,-9.01508E-03,+418.55278E-03
-9.38000E-03,+59.32663E-03,+654.93470E-03
-9.37000E-03,+3.04522E-03,+714.03018E-03
-9.36000E-03,+19.12563E-03,+792.82415E-03
-9.35000E-03,-45.19598E-03,+871.61812E-03
-9.34000E-03,-41.17588E-03,+832.22114E-03
-9.33000E-03,-25.09548E-03,+891.31662E-03
-9.32000E-03,-97.45729E-03,+753.42716E-03
-9.31000E-03,-77.35679E-03,+792.82415E-03
-9.30000E-03,-73.33669E-03,+635.23620E-03
-9.29000E-03,-21.07538E-03,+556.44223E-03
-9.28000E-03,-45.19598E-03,+457.94977E-03
-9.27000E-03,-61.27638E-03,+300.36182E-03
-9.26000E-03,-29.11558E-03,+103.37689E-03
-9.25000E-03,-93.43719E-03,-133.00503E-03
-9.24000E-03,-4.99498E-03,-192.10051E-03
-9.23000E-03,+19.12563E-03,-329.98996E-03
-9.22000E-03,+7.06532E-03,-526.97489E-03
-9.21000E-03,-25.09548E-03,-743.65832E-03
-9.20000E-03,+63.34673E-03,-704.26133E-03
-9.19000E-03,+63.34673E-03,-783.05531E-03
-9.18000E-03,-29.11558E-03,-960.34174E-03
-9.17000E-03,+7.06532E-03,-842.15079E-03
-9.16000E-03,+7.06532E-03,-881.54777E-03
-9.15000E-03,+99.52763E-03,-783.05531E-03
-9.14000E-03,+19.12563E-03,-842.15079E-03
-9.13000E-03,-974.88E-06,-723.95983E-03
-9.12000E-03,+47.26633E-03,-507.27640E-03
-9.11000E-03,+67.36683E-03,-389.08544E-03
-9.10000E-03,+47.26633E-03,-152.70352E-03
-9.09000E-03,+67.36683E-03,-14.81407E-03
-9.08000E-03,-29.11558E-03,+4.88442E-03
-9.07000E-03,+47.26633E-03,+280.66333E-03
-9.06000E-03,+71.38693E-03,+438.25127E-03
-9.05000E-03,-9.01508E-03,+497.34675E-03
-9.04000E-03,-25.09548E-03,+615.53771E-03
-9.03000E-03,+15.10553E-03,+832.22114E-03
-9.02000E-03,-49.21608E-03,+832.22114E-03
-9.01000E-03,-17.05528E-03,+812.52264E-03
-9.00000E-03,-93.43719E-03,+792.82415E-03
-8.99000E-03,+3.04522E-03,+930.71360E-03
-8.98000E-03,-61.27638E-03,+812.52264E-03
-8.97000E-03,-69.31658E-03,+674.63319E-03
-8.96000E-03,-33.13568E-03,+615.53771E-03
-8.95000E-03,-37.15578E-03,+517.04524E-03
-8.94000E-03,-81.37689E-03,+280.66333E-03
-8.93000E-03,-25.09548E-03,+201.86935E-03
-8.92000E-03,-125.59799E-03,-133.00503E-03
-8.91000E-03,-37.15578E-03,-133.00503E-03
-8.90000E-03,-49.21608E-03,-408.78393E-03
-8.89000E-03,-33.13568E-03,-487.57791E-03
-8.88000E-03,+23.14573E-03,-625.46736E-03
-8.87000E-03,-41.17588E-03,-743.65832E-03
-8.86000E-03,+15.10553E-03,-783.05531E-03
-8.85000E-03,+27.16583E-03,-842.15079E-03
-8.84000E-03,-25.09548E-03,-999.73873E-03
-8.83000E-03,+19.12563E-03,-940.64325E-03
-8.82000E-03,+7.06532E-03,-920.94476E-03
-8.81000E-03,+63.34673E-03,-783.05531E-03
-8.80000E-03,-17.05528E-03,-763.35681E-03
-8.79000E-03,+47.26633E-03,-605.76887E-03
-8.78000E-03,+91.48743E-03,-369.38695E-03
-8.77000E-03,-9.01508E-03,-329.98996E-03
-8.76000E-03,+31.18593E-03,-133.00503E-03
-8.75000E-03,-4.99498E-03,+4.88442E-03
-8.74000E-03,+47.26633E-03,+280.66333E-03
-8.73000E-03,+59.32663E-03,+438.25127E-03
-8.72000E-03,+43.24623E-03,+576.14072E-03
-8.71000E-03,-33.13568E-03,+595.83922E-03
-8.70000E-03,+11.08542E-03,+812.52264E-03
-8.69000E-03,-49.21608E-03,+792.82415E-03
-8.68000E-03,-73.33669E-03,+812.52264E-03
-8.67000E-03,-21.07538E-03,+871.61812E-03
-8.66000E-03,-25.09548E-03,+911.01511E-03
-8.65000E-03,-109.51759E-03,+733.72867E-03
-8.64000E-03,+7.06532E-03,+773.12566E-03
-8.63000E-03,-77.35679E-03,+615.53771E-03
-8.62000E-03,-53.23618E-03,+556.44223E-03
-8.61000E-03,-21.07538E-03,+418.55278E-03
-8.60000E-03,-81.37689E-03,+123.07538E-03
-8.59000E-03,-117.55779E-03,-54.21106E-03
-8.58000E-03,-61.27638E-03,-231.49750E-03
-8.57000E-03,-41.17588E-03,-329.98996E-03
-8.56000E-03,-21.07538E-03,-487.57791E-03
-8.55000E-03,-17.05528E-03,-546.67339E-03
-8.54000E-03,-974.88E-06,-684.56284E-03
-8.53000E-03,+63.34673E-03,-743.65832E-03
-8.52000E-03,-21.07538E-03,-881.54777E-03
-8.51000E-03,+63.34673E-03,-842.15079E-03
-8.50000E-03,+55.30653E-03,-920.94476E-03
-8.49000E-03,+31.18593E-03,-901.24626E-03
-8.48000E-03,+43.24623E-03,-861.84928E-03
-8.47000E-03,+67.36683E-03,-684.56284E-03
-8.46000E-03,+67.36683E-03,-566.37188E-03
-8.45000E-03,+63.34673E-03,-507.27640E-03
-8.44000E-03,+11.08542E-03,-428.48243E-03
-8.43000E-03,+7.06532E-03,-211.79900E-03
-8.42000E-03,-974.88E-06,-73.90955E-03
-8.41000E-03,-4.99498E-03,+103.37689E-03
-8.40000E-03,+35.20603E-03,+320.06031E-03
-8.39000E-03,+35.20603E-03,+438.25127E-03
-8.38000E-03,-9.01508E-03,+556.44223E-03
-8.37000E-03,-53.23618E-03,+615.53771E-03
-8.36000E-03,-45.19598E-03,+753.42716E-03
-8.35000E-03,+51.28643E-03,+911.01511E-03
-8.34000E-03,-21.07538E-03,+812.52264E-03
-8.33000E-03,-17.05528E-03,+950.41209E-03
-8.32000E-03,-69.31658E-03,+832.22114E-03
-8.31000E-03,-37.15578E-03,+812.52264E-03
-8.30000E-03,-45.19598E-03,+635.23620E-03
-8.29000E-03,-25.09548E-03,+517.04524E-03
-8.28000E-03,-49.21608E-03,+379.15579E-03
-8.27000E-03,-41.17588E-03,+280.66333E-03
